,J1,J2,J3,J4,J5,J6
0,-1.5215353965759277,-0.9338086843490601,-1.3985379934310913,-2.3705193996429443,1.6347182989120483,0.015285514295101166
1,-1.5213332176208496,-0.9335808753967285,-1.398777961730957,-2.3698551654815674,1.6344406604766846,0.01575184240937233
2,-1.5211302042007446,-0.9333530068397522,-1.3990178108215332,-2.3691909313201904,1.6341623067855835,0.016218779608607292
3,-1.5209273099899292,-0.9331250786781311,-1.3992576599121094,-2.3685271739959717,1.6338837146759033,0.016685497015714645
4,-1.520723581314087,-0.93289715051651,-1.3994977474212646,-2.3678629398345947,1.6336045265197754,0.017152773216366768
5,-1.5205198526382446,-0.9326692819595337,-1.3997377157211304,-2.367199182510376,1.6333250999450684,0.017619837075471878
6,-1.5203157663345337,-0.9324412941932678,-1.399977684020996,-2.3665359020233154,1.6330450773239136,0.018087157979607582
7,-1.5201114416122437,-0.9322133660316467,-1.4002180099487305,-2.3658721446990967,1.6327646970748901,0.01855440065264702
8,-1.5199066400527954,-0.9319855570793152,-1.4004576206207275,-2.3652091026306152,1.6324838399887085,0.019022051244974136
9,-1.5197014808654785,-0.9317575693130493,-1.4006975889205933,-2.364546537399292,1.6322026252746582,0.01948980987071991
10,-1.5194960832595825,-0.9315295219421387,-1.4009380340576172,-2.3638832569122314,1.6319209337234497,0.019957618787884712
11,-1.5192902088165283,-0.9313017129898071,-1.4011777639389038,-2.3632209300994873,1.631638765335083,0.02042568475008011
12,-1.5190843343734741,-0.931073784828186,-1.4014180898666382,-2.362558126449585,1.631356120109558,0.020893529057502747
13,-1.5188781023025513,-0.9308457970619202,-1.401658296585083,-2.3618955612182617,1.6310731172561646,0.021361690014600754
14,-1.5186713933944702,-0.9306178092956543,-1.4018983840942383,-2.3612334728240967,1.6307897567749023,0.021830080077052116
15,-1.5184646844863892,-0.9303898811340332,-1.4021387100219727,-2.3605711460113525,1.6305058002471924,0.02229824848473072
16,-1.51825749874115,-0.9301618337631226,-1.4023791551589966,-2.3599092960357666,1.6302216053009033,0.022766640409827232
17,-1.518049955368042,-0.9299338459968567,-1.4026196002960205,-2.3592472076416016,1.629936695098877,0.023235199972987175
18,-1.5178422927856445,-0.9297060370445251,-1.4028594493865967,-2.358586072921753,1.6296515464782715,0.023703748360276222
19,-1.5176341533660889,-0.929478108882904,-1.403099775314331,-2.357924461364746,1.6293659210205078,0.024172553792595863
20,-1.5174260139465332,-0.9292500615119934,-1.4033405780792236,-2.3572630882263184,1.629079818725586,0.024641189724206924
21,-1.5172173976898193,-0.9290220737457275,-1.403580904006958,-2.3566017150878906,1.6287933588027954,0.02511005662381649
22,-1.517008662223816,-0.9287941455841064,-1.4038212299346924,-2.355940818786621,1.6285063028335571,0.025578761473298073
23,-1.5167995691299438,-0.9285660982131958,-1.4040621519088745,-2.3552796840667725,1.6282188892364502,0.026047782972455025
24,-1.5165902376174927,-0.9283381104469299,-1.4043028354644775,-2.354618787765503,1.6279311180114746,0.026516787707805634
25,-1.5163806676864624,-0.9281102418899536,-1.4045432806015015,-2.3539583683013916,1.6276428699493408,0.026985839009284973
26,-1.5161709785461426,-0.9278823733329773,-1.4047834873199463,-2.3532981872558594,1.6273540258407593,0.027454840019345284
27,-1.515960931777954,-0.9276543855667114,-1.4050244092941284,-2.352637529373169,1.6270649433135986,0.027923956513404846
28,-1.5157506465911865,-0.9274264574050903,-1.405265212059021,-2.351977586746216,1.6267753839492798,0.028393050655722618
29,-1.5155401229858398,-0.9271984696388245,-1.4055061340332031,-2.3513171672821045,1.6264852285385132,0.02886231429874897
30,-1.5153294801712036,-0.9269706606864929,-1.4057466983795166,-2.3506574630737305,1.6261948347091675,0.029331417754292488
31,-1.5151187181472778,-0.9267427921295166,-1.4059877395629883,-2.3499975204467773,1.6259039640426636,0.02980056218802929
32,-1.5149073600769043,-0.9265145659446716,-1.406229019165039,-2.3493378162384033,1.6256126165390015,0.030269930139183998
33,-1.5146961212158203,-0.9262868165969849,-1.406469702720642,-2.3486783504486084,1.6253207921981812,0.03073909878730774
34,-1.5144844055175781,-0.9260590076446533,-1.4067106246948242,-2.3480191230773926,1.6250286102294922,0.031208476051688194
35,-1.514272689819336,-0.9258310198783875,-1.406951904296875,-2.3473596572875977,1.6247358322143555,0.03167770802974701
36,-1.5140604972839355,-0.9256031513214111,-1.4071931838989258,-2.346700668334961,1.62444269657135,0.032147154211997986
37,-1.5138486623764038,-0.9253753423690796,-1.407434105873108,-2.3460419178009033,1.624149203300476,0.03261609002947807
38,-1.5136361122131348,-0.9251475930213928,-1.4076752662658691,-2.3453829288482666,1.6238551139831543,0.03308551758527756
39,-1.5134236812591553,-0.9249196648597717,-1.407916784286499,-2.344724178314209,1.6235606670379639,0.033554598689079285
40,-1.5132108926773071,-0.9246918559074402,-1.4081580638885498,-2.3440656661987305,1.6232658624649048,0.03402392566204071
41,-1.5129979848861694,-0.9244639277458191,-1.4083995819091797,-2.343407154083252,1.622970461845398,0.03449306637048721
42,-1.5127849578857422,-0.9242361783981323,-1.4086412191390991,-2.3427484035491943,1.6226747035980225,0.03496217727661133
43,-1.5125715732574463,-0.9240084886550903,-1.40888249874115,-2.3420908451080322,1.6223785877227783,0.03543147072196007
44,-1.51235830783844,-0.9237805604934692,-1.4091242551803589,-2.341432809829712,1.622081995010376,0.03590040281414986
45,-1.5121448040008545,-0.9235528707504272,-1.4093660116195679,-2.3407742977142334,1.6217849254608154,0.03636935353279114
46,-1.5119311809539795,-0.92332524061203,-1.4096076488494873,-2.340116500854492,1.6214873790740967,0.03683823347091675
47,-1.5117173194885254,-0.9230974316596985,-1.4098496437072754,-2.33945894241333,1.6211893558502197,0.03730710595846176
48,-1.5115033388137817,-0.9228697419166565,-1.4100914001464844,-2.338801383972168,1.6208909749984741,0.03777599334716797
49,-1.511289358139038,-0.9226419925689697,-1.4103333950042725,-2.338143825531006,1.6205921173095703,0.03824463486671448
50,-1.5110750198364258,-0.9224143624305725,-1.4105753898620605,-2.337486505508423,1.6202929019927979,0.038713403046131134
51,-1.510860562324524,-0.9221866726875305,-1.4108176231384277,-2.33682918548584,1.6199932098388672,0.03918210044503212
52,-1.5106459856033325,-0.9219591021537781,-1.4110593795776367,-2.336172103881836,1.6196929216384888,0.039650678634643555
53,-1.5104315280914307,-0.9217314124107361,-1.411301851272583,-2.335515022277832,1.6193923950195312,0.04011891782283783
54,-1.5102167129516602,-0.9215037822723389,-1.4115443229675293,-2.334857940673828,1.619091272354126,0.040587376803159714
55,-1.5100018978118896,-0.9212762117385864,-1.4117869138717651,-2.3342010974884033,1.618789792060852,0.0410555824637413
56,-1.5097869634628296,-0.9210485219955444,-1.4120293855667114,-2.3335444927215576,1.6184879541397095,0.0415237732231617
