,J1,J2,J3,J4,J5,J6
0,-1.559484362602234,-0.7619946002960205,-1.766157627105713,-2.3697214126586914,1.5646682977676392,0.0041491198353469
1,-1.5595128536224363,-0.7619659304618835,-1.766185283660889,-2.369615077972412,1.56469464302063,0.0040824757888913
2,-1.55954110622406,-0.7619373798370361,-1.7662129402160645,-2.369509220123291,1.5647212266921997,0.0040160613134503
3,-1.5595697164535522,-0.761908769607544,-1.7662408351898191,-2.369402885437012,1.5647475719451904,0.003949265461415
4,-1.5595979690551758,-0.7618802189826965,-1.7662684917449951,-2.3692967891693115,1.5647741556167605,0.0038828807882964
5,-1.559626579284668,-0.7618516683578491,-1.7662960290908811,-2.369190454483032,1.56480073928833,0.0038161715492606
6,-1.5596548318862915,-0.7618229985237122,-1.766323804855347,-2.369084596633911,1.5648272037506104,0.0037497833836823
7,-1.559683322906494,-0.7617945075035095,-1.7663512229919434,-2.36897873878479,1.5648536682128906,0.003683129325509
8,-1.5597118139266968,-0.7617658376693726,-1.7663792371749878,-2.3688724040985107,1.5648800134658811,0.003616475732997
9,-1.55974018573761,-0.7617372870445251,-1.766406536102295,-2.3687665462493896,1.5649067163467407,0.0035500256344676
10,-1.559768795967102,-0.761708676815033,-1.7664344310760498,-2.3686602115631104,1.564933180809021,0.0034832512028515
11,-1.559797286987305,-0.7616800665855408,-1.7664620876312256,-2.36855411529541,1.5649597644805908,0.0034166243858635
12,-1.5598255395889282,-0.7616515159606934,-1.7664897441864014,-2.36844801902771,1.5649863481521606,0.0033502571750432
13,-1.5598541498184204,-0.761622965335846,-1.7665176391601562,-2.3683419227600098,1.565012812614441,0.0032835092861205
14,-1.5598827600479126,-0.7615944743156433,-1.766545057296753,-2.3682358264923096,1.5650395154953003,0.0032168196048587
15,-1.5599111318588257,-0.7615658044815063,-1.7665728330612185,-2.3681299686431885,1.5650659799575806,0.0031503036152571
16,-1.5599396228790283,-0.7615373134613037,-1.7666003704071045,-2.3680238723754883,1.5650925636291504,0.003083728486672
17,-1.559968113899231,-0.7615087032318115,-1.7666285037994385,-2.36791729927063,1.5651191473007202,0.0030170632526278
18,-1.5599967241287231,-0.7614802122116089,-1.7666560411453247,-2.3678109645843506,1.5651458501815796,0.0029503677505999
19,-1.560025334358215,-0.7614516019821167,-1.7666836977005005,-2.367705106735229,1.56517231464386,0.0028836415149271
20,-1.5600535869598389,-0.7614229917526245,-1.7667113542556765,-2.3675992488861084,1.5651990175247192,0.0028172670863568
21,-1.5600823163986206,-0.7613945603370667,-1.7667391300201416,-2.367492914199829,1.5652257204055786,0.0027504214085638
22,-1.5601106882095337,-0.7613658905029297,-1.7667667865753174,-2.367387056350708,1.5652523040771484,0.0026839580386877
23,-1.5601394176483154,-0.7613373398780823,-1.7667946815490725,-2.3672807216644287,1.5652788877487185,0.0026170790661126
24,-1.5601680278778076,-0.7613089084625244,-1.766822099685669,-2.3671746253967285,1.5653055906295776,0.0025504059158265
25,-1.5601965188980105,-0.7612802386283875,-1.7668499946594238,-2.367068290710449,1.565332293510437,0.0024838512763381
26,-1.560225248336792,-0.7612517476081848,-1.7668778896331787,-2.366962194442749,1.5653588771820068,0.0024170279502868
27,-1.5602537393569946,-0.7612231969833374,-1.766905426979065,-2.3668558597564697,1.5653856992721558,0.002350439550355
28,-1.5602824687957764,-0.7611948251724243,-1.7669330835342407,-2.3667500019073486,1.5654122829437256,0.0022835868876427
29,-1.5603107213974,-0.7611661553382874,-1.7669610977172852,-2.3666436672210693,1.565438985824585,0.002217230387032
30,-1.5603395700454712,-0.7611376643180847,-1.7669885158538818,-2.366537570953369,1.5654655694961548,0.0021502857562154
